,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24
Ant-ticpating wins,1500,1476.6666666666667,1461.725033833536,1457.0762511208918,1440.9293923382536,1422.9016004928926,1422.680498897376,1409.7123832434727,1390.366667599836,1388.0041420377754,1379.606315935526,1378.7289622389078,1394.1566318235691,1382.1246814601436,1373.434757929018,1368.6027355043043,1373.2723258888989,1360.070672122405,1362.062710978094,1369.0004675102518,1363.4356040171697,1357.227794718742,1347.161179683142,1371.209737604273,1363.8984172460766
Streakbreaker,1500,1483.3333333333333,1495.6314075474777,1515.9130836941465,1503.754247059241,1485.075615526516,1466.5734731846387,1486.6765509206982,1468.3552285870526,1486.3091046137583,1494.706930716008,1495.6446812540614,1504.2595207887591,1497.4505233809489,1505.2751275167836,1503.3132729891806,1519.3307562289997,1545.9969036323405,1552.7805883636215,1563.225702045826,1565.4769312361004,1566.3744909272164,1573.4968421333442,1599.2355747659692,1619.070579482805
Kevin's Burning Bridges,1500,1510.0,1524.3685924525223,1529.0173751651669,1516.8729821239822,1526.0338786468014,1542.2706233830218,1540.8023031243613,1549.7636173995795,1567.147094007,1547.09231538887,1533.5464430588083,1531.8186747606164,1543.850625124042,1551.9667536339314,1562.960649433494,1559.171704106991,1569.7065829654834,1557.935911110473,1547.4907974282685,1565.0884398435371,1552.6907896219336,1546.3307082828371,1531.7156105132135,1525.671192439866
ZuPacalypse Now,1500,1503.3333333333333,1521.725033833536,1541.953292628728,1558.100151411366,1576.7787829440908,1588.0063327454395,1590.0072352736015,1596.3014165435982,1589.152454783073,1590.4820485778123,1588.2480821217714,1596.617325439278,1619.6424912153357,1624.8945869372037,1635.947043816086,1639.735989142589,1613.0698417392484,1611.0778028835596,1610.797924862121,1600.9341630156882,1613.4047471716965,1614.753549560078,1636.0660297379445,1616.2310250211087
French Wembassy,1500,1523.3333333333333,1537.7019257858558,1517.4202496391867,1538.3163706990215,1513.083218075394,1501.8556682740452,1516.5907135111104,1524.3912316524563,1527.740624704128,1547.7954033222582,1552.0594827386367,1541.355440194806,1548.1644376026163,1571.2599956052975,1578.9790305685665,1582.1583089091157,1582.6984982316176,1584.2645324166826,1577.3267758845247,1582.9683558750994,1589.494763995238,1591.31417701744,1570.0016968395735,1560.491561479031
Nico’s revenge,1500,1490.0,1482.2980742141442,1484.2505126420692,1479.91402841322,1474.352833118268,1493.0732188567515,1491.0723163285893,1483.2717981872431,1465.3179221605376,1440.053491422019,1442.2874578780602,1426.8597882933989,1407.7495246882618,1390.9680985492398,1375.1715940385711,1375.7508154837851,1357.8153253199312,1363.5955748665176,1363.5014269466876,1362.982720440972,1356.4563123208334,1366.5229273564337,1364.781017871966,1389.2931279252653
Trusting the Process,1500,1483.3333333333333,1468.9647408808107,1472.6285024413755,1476.9649866702248,1471.3695312988857,1465.733119761862,1478.7012354157653,1466.0980835755204,1478.8956437446736,1488.7074256868052,1489.5847793834234,1481.215536065917,1472.212561547031,1464.3879574111963,1456.6689224479271,1471.0500531024254,1466.800786517212,1461.0205369706257,1480.237095915675,1462.639453500406,1479.03384836869,1473.7733630013252,1483.2881920986326,1490.599512456829
Teenage Mutant Ninja Poetls,1500,1490.0,1478.964740880811,1490.8679033575047,1503.0267399924105,1521.0545318377715,1504.8177871015512,1503.2876079339926,1498.5915552240697,1485.7939950549164,1484.4644012601768,1473.0599238851155,1472.4474957654595,1484.870531901787,1501.651958040809,1498.58207636215,1495.402798021601,1508.6044517880948,1501.8207670568138,1490.2107413471529,1481.1082760013096,1481.8464220980718,1468.154018507515,1458.6391894102076,1464.78512491936
Good Night and Good Luka,1500,1523.3333333333333,1504.9416328331304,1502.9891944052054,1480.0837108165515,1478.1439761592433,1469.8810339406004,1467.4942082641012,1485.8155305977468,1482.466137546075,1480.77981456243,1474.3671261505142,1476.094894448706,1495.2051580538432,1504.7031191395083,1507.7730008181672,1493.391870163669,1468.626747890071,1462.4371839922449,1446.7698544600178,1456.6336163064504,1455.7360566153343,1464.6931701436763,1466.435079628144,1488.9282210517945
dbyun89,1500,1476.6666666666667,1478.964740880811,1466.4789934556434,1450.7171080282706,1456.3125633996096,1447.991167240816,1449.5213464083745,1440.560032133156,1442.9225576952167,1468.1869884337352,1479.5914658087963,1470.9766262740984,1461.394991008956,1473.8138888893498,1462.7614320104674,1460.4391617845076,1464.6884283697211,1474.0149770633336,1489.6823065955607,1497.891321806845,1510.2889720284486,1508.940169640067,1500.2321411579899,1506.2765592313374
Kawhi-tly Planting Trees,1500,1516.6666666666667,1527.7019257858558,1540.1876732110234,1546.992200203612,1522.2660411692334,1527.9024527062572,1538.7209914769776,1558.0667071206142,1540.683230513194,1542.369553496839,1543.9043375856088,1554.6083801294396,1564.190015394582,1558.937919672714,1562.1560901278488,1561.9247285662436,1568.7098105633934,1579.6496434613186,1579.7437913811486,1588.846256726992,1595.0540660254196,1601.414147364516,1575.6754147318911,1585.1855500924337
Minotts Restriction,1500,1516.6666666666667,1524.3685924525223,1504.1403336573303,1516.284726698515,1541.5178793221426,1560.02002166402,1562.406847340519,1579.2835397332422,1592.5826131513477,1604.511493246164,1610.92418165808,1593.048254043905,1570.0230882678472,1557.6041903874534,1554.3860199323187,1549.716429547724,1549.176240225222,1560.9469120802326,1572.5569377898937,1573.0756442956094,1571.9468649526918,1570.1274519304898,1584.7425497001134,1583.7646114797149
johqui1092,1500,1496.6666666666667,1511.608299499797,1507.9445379392323,1530.8500215278862,1555.5761805622649,1563.8975767210586,1565.365896979719,1570.061949689642,1577.6153709145851,1583.366040855541,1596.9119131856028,1614.7878407997778,1623.7908153186634,1600.695257315982,1602.657111843585,1602.077890398371,1595.2928084012212,1601.4823722990477,1605.6646832350166,1611.2295467280987,1610.4914006313363,1603.3690494252085,1612.0770779072857,1613.0550161276842
Testicular Injury Reserve,1500,1503.3333333333333,1501.035259119189,1489.1320966424953,1468.2359755826606,1459.0750790598413,1459.2961806553578,1448.4776418846377,1461.0807937248826,1453.5273724999397,1441.5984924051234,1440.0637083163535,1422.9694332527954,1410.546397116468,1401.0484360308028,1416.8449405414715,1400.8274573016524,1390.29257844316,1388.726544258095,1389.0064222795338,1380.7974070682492,1364.4030121999651,1355.445898671623,1331.397340750492,1325.2514052413396
Clingan On,1500,1510.0,1497.7019257858558,1503.039387800563,1496.2348608079744,1498.174595465283,1479.4542097267993,1464.719164489734,1458.4249832197374,1445.125909801632,1439.3752398606755,1435.1111604442972,1452.205435507855,1476.779150661844,1485.4690741929696,1474.475178393407,1476.7974486193668,1501.5625708929645,1490.6227379950392,1471.4061790499902,1469.1549498597158,1456.6843657037075,1461.9448510710724,1457.801231833359,1433.2891217800598
kashmoney387,1500,1496.6666666666667,1482.2980742141442,1476.960612199437,1492.72249762681,1498.283692921762,1506.5466351404048,1486.4435574043453,1469.5668650116222,1476.7158267721477,1466.904044830016,1465.9662942919626,1466.5787224116184,1442.0050072576296,1433.88887874774,1438.7209011724533,1438.9522627340584,1456.8877528979124,1447.5612042043,1443.3788932683312,1437.7373132777566,1438.8660926206742,1452.558496211231,1456.7021154489444,1434.2089740252939
